id_father,income_father,id_child,is_head,sex_child,income_child
13-1,11171,13-3,False,2,0
13-1,11171,13-4,False,2,20000
19-1,3962,19-3,True,1,16000
53-1,10585,53-3,True,1,28000
53-1,10585,53-4,False,2,12840
53-1,10585,53-5,True,1,27000
53-1,10585,53-6,True,2,9600
57-1,8000,57-3,True,2,0
84-1,13500,84-3,True,1,44001
84-1,13500,84-4,False,2,0
88-1,16380,88-3,True,2,26000
88-1,16380,88-4,True,1,22000
88-1,16380,88-5,True,1,42001
89-1,10100,89-3,False,2,31000
89-1,10100,89-4,False,2,0
89-1,10100,89-5,True,2,24000
96-1,16000,96-3,False,2,0
121-1,19000,121-3,True,1,15300
121-1,19000,121-4,True,1,36001
121-1,19000,121-6,True,1,35001
121-1,19000,121-7,False,2,0
157-1,12360,157-4,True,2,29500
200-1,20000,200-4,True,1,33000
203-1,23000,203-3,True,1,67701
203-1,23000,203-4,False,2,57001
203-1,23000,203-5,False,2,3200
209-1,9100,209-3,True,1,25000
280-1,12000,280-3,True,1,55001
280-1,12000,280-6,False,2,28000
284-1,16500,284-3,True,1,60002
297-1,3300,297-6,False,2,6999
297-1,3300,297-9,False,2,0
301-1,13300,301-4,False,2,20000
301-1,13300,301-5,False,2,17000
315-1,9000,315-3,True,1,56602
315-1,9000,315-4,False,2,13000
320-1,16300,320-3,True,1,0
320-1,16300,320-4,True,1,17000
321-1,14000,321-4,False,2,7999
340-1,19000,340-3,False,2,31874
340-1,19000,340-4,True,1,5999
351-1,4940,351-3,False,2,17500
351-1,4940,351-4,False,2,0
351-1,4940,351-5,True,1,28500
355-1,11000,355-3,True,2,41701
355-1,11000,355-4,True,1,44102
361-1,6000,361-3,True,1,27029
361-1,6000,361-4,True,1,37001
391-1,30000,391-3,False,2,30000
391-1,30000,391-4,True,2,94003
391-1,30000,391-5,True,1,50001
423-1,6000,423-3,True,1,23501
423-1,6000,423-4,True,1,24801
428-1,26000,428-4,True,1,0
433-1,6700,433-3,True,1,46001
433-1,6700,433-6,False,2,31101
459-1,6100,459-4,True,1,73002
467-1,10800,467-2,False,2,9500
467-1,10800,467-3,False,2,27191
479-1,6741,479-3,True,1,41800
517-1,23500,517-3,True,2,70002
517-1,23500,517-4,False,2,31000
